GSPFINANCE,28.70,Financial Institutions,A,2.87,1.69,1.55,21.9,2020
HAKKANIPUL,60.90,Paper & Printing,B,0.1,-, n/a ,24.96,2021
HEIDELBCEM,290.00,Cement,A,2.0,13.2, n/a ,68.1,2020
HFL,25.20,Textile,B,0.5,0.12, n/a ,37.79,2021
HRTEX,58.90,Textile,A,1.0,2.44,1.11,42.78,2020
HWAWELLTEX,45.20,Textile,A,2.0,3.93,3.02,31.56,2021
IBNSINA,290.00,Pharmaceuticals & Chemicals,A,4.7,18.16,15.66,68.69,2021
IBP,19.40,Pharmaceuticals & Chemicals,B,0.84,1.36,1.4,13.61,2020
ICB,127.60,Financial Institutions,A,1.1,2.82,1.44,54.98,2021
ICB3RDNRB,7.20,Mutual Funds,A,0.7,0.89,0.53,9.22,2021
ICBAGRANI1,8.90,Mutual Funds,A,0.7,1.34,0.67,11.01,2021
ICBAMCL2ND,9.00,Mutual Funds,A,0.8,1.52,0.37,10.33,2021
ICBEPMF1S1,7.70,Mutual Funds,A,0.6,1.12,0.41,9.4,2021
ICBIBANK,5.10,Bank,Z,-,-, n/a ,-17.54,2020
ICBSONALI1,8.10,Mutual Funds,A,0.7,1.24,0.53,10.39,2021
IDLC,61.00,Financial Institutions,A,4.55,5.36,6.74,40.41,2020
IFADAUTOS,50.20,Engineering,A,1.1,1.64,2.18,40.81,2021
IFIC,17.50,Bank,A,0.88,1.68,0.7,17.18,2020
IFIC1STMF,5.60,Mutual Funds,A,0.75,0.8,2.32,11.48,2021
IFILISLMF1,6.80,Mutual Funds,A,0.4,0.88,0.31,9.5,2021
ILFSL,6.60,Financial Institutions,B,-,-, n/a ,-144.93,2020
IMAMBUTTON,25.10,Pharmaceuticals & Chemicals,Z,-,-, n/a ,5.81,2018
INDEXAGRO,127.20,Miscellaneous,A,2.5,6.12,5.63,58.27,2021
INTECH,29.10,IT Sector,B,0.1,0.25,0.15,10.7,2020
INTRACO,21.60,Fuel & Power,A,1.58,1.32,0.55,12.28,2020
IPDC,38.90,Financial Institutions,A,1.2,2.27,1.9,16.34,2020
ISLAMIBANK,32.10,Bank,A,1.0,3.55,2.97,38.89,2020
ISLAMICFIN,26.50,Financial Institutions,A,1.0,1.19,1.54,14.99,2020
ISLAMIINS,62.20,Insurance,A,6.22,2.57,2.18,15.89,2020
ISNLTD,43.40,IT Sector,B,-,0.52, n/a ,2.47,2021
ITC,34.90,IT Sector,B,0.5,1.38,1.56,16.48,2021
JAMUNABANK,23.60,Bank,A,1.75,5.16,3.54,32.06,2020
JAMUNAOIL,183.00,Fuel & Power,A,12.0,14.68,18.14,161.4,2020
JANATAINS,44.80,Insurance,A,2.84,1.64,1.25,14.45,2020
JMISMDL,343.50,Pharmaceuticals & Chemicals,A,3.0,3.45,4.04,122.7,2021
JUTESPINN,123.50,Jute,Z,-,-, n/a ,-147.44,2016
KARNAPHULI,40.40,Insurance,A,1.0,2.19,1.57,18.82,2020
KAY&QUE,281.60,Engineering,B,0.4,0.48,0.44,76.79,2020
KBPPWBIL,13.10,Miscellaneous,B,-,-, n/a ,12.26,2021
KDSALTD,65.20,Engineering,A,1.5,2.2,2.2,24.75,2021
KEYACOSMET,7.70,Pharmaceuticals & Chemicals,B,0.1,0.24,0.21,0.23,2020
KOHINOOR,401.90,Pharmaceuticals & Chemicals,A,63.78,10.88,10.54,55.58,2021
KPCL,31.40,Fuel & Power,A,1.25,-,0.87,22.07,2021
KPPL,10.60,Paper & Printing,B,-,-, n/a ,1.23,2021
KTL,33.90,Textile,A,1.0,1.88,0.52,16.71,2021
LANKABAFIN,38.70,Financial Institutions,A,1.2,2.23,1.81,18.73,2020
LEGACYFOOT,67.00,Tannery Industries,B,0.1,0.2,0.4,10.83,2021
LHBL,77.00,Cement,A,1.0,3.55,2.03,14.89,2020
LIBRAINFU,1062.10,Pharmaceuticals & Chemicals,A,0.5,1.05,1.05,1269.0,2019
LINDEBD,1864.40,Fuel & Power,A,40.0,82.83,70.54,355.71,2020
LOVELLO,45.80,Food & Allied,N,1.1,1.6,1.41,12.57,2021
LRBDL,42.00,Fuel & Power,N,1.0,2.12,3.41,36.45,2021
LRGLOBMF1,7.00,Mutual Funds,A,1.51,1.74,1.74,13.47,2021
MAKSONSPIN,27.80,Textile,B,0.2,3.0, n/a ,18.2,2020
MALEKSPIN,29.50,Textile,A,1.0,3.48,3.36,46.27,2021
MARICO,2346.80,Pharmaceuticals & Chemicals,A,90.0,125.43,98.69,51.95,2021
MATINSPINN,65.40,Textile,A,4.0,10.72,6.31,53.84,2021
MBL1STMF,8.10,Mutual Funds,A,1.15,0.3,1.95,11.89,2021
MEGCONMILK,15.00,Food & Allied,Z,-,-, n/a ,-67.81,2021
MEGHNACEM,78.00,Cement,A,4.4,1.84,2.73,70.14,2021
MEGHNALIFE,82.50,Insurance,A,13.88,-,-,-,2020
MEGHNAPET,19.40,Food & Allied,Z,-,-, n/a ,-4.54,2021
MERCANBANK,17.40,Bank,A,1.87,4.51,2.26,22.61,2020
MERCINS,49.40,Insurance,A,1.0,1.51,1.7,19.05,2020
METROSPIN,27.00,Textile,B,0.2,1.6,0.08,14.53,2020
MHSML,32.00,Textile,B,0.3,1.94,0.52,18.16,2021
MICEMENT,67.50,Cement,A,2.0,2.17,5.81,52.69,2021
MIDASFIN,16.80,Financial Institutions,B,0.67,-,0.83,11.69,2020
MIRACLEIND,29.40,Miscellaneous,B,0.1,-, n/a ,31.93,2020
MIRAKHTER,63.80,Engineering,N,1.25,2.24,4.21,50.86,2021
MITHUNKNIT,14.50,Textile,Z,-,-, n/a ,19.75,2018
MJLBD,93.80,Fuel & Power,A,5.5,7.46,7.5,39.69,2021
MLDYEING,24.50,Textile,A,1.0,0.96,0.62,15.75,2021
MONNOAGML,588.30,Engineering,A,1.0,1.44,1.55,13.62,2021
MONNOCERA,116.70,Ceramics Sector,A,1.0,0.84,0.9,57.37,2021
MONNOFABR,25.40,Textile,Z,-,0.08,0.06,27.37,2021
MONOSPOOL,198.80,Paper & Printing,Z,1.0,1.16,1.23,40.43,2021
MPETROLEUM,208.80,Fuel & Power,A,15.0,24.11,28.45,148.21,2020
MTB,19.30,Bank,A,1.93,1.6,1.31,23.03,2020
NAHEEACP,46.70,Engineering,A,1.0,2.04,2.15,17.38,2021
NATLIFEINS,218.10,Insurance,A,3.2,-,3.76,48.27,2020
NAVANACNG,31.60,Engineering,A,2.08,0.24,0.22,35.28,2021
NBL,7.40,Bank,B,0.37,0.59,1.18,16.92,2020
